session,species,var,SVC_tl,SVC_abundance
157,foureye butterflyfish,1,7,1
157,blue tang,1,12,1
157,greenblotch parrotfish,1,3,1
157,bluelip parrotfish,1,3,1
157,bicolor damselfish,1,3,1
157,bluehead wrasse,1,4,1
157,redband parrotfish,1,3,1
157,striped parrotfish,1,4,1
157,yellowhead wrasse,1,6,1
157,blue chromis,1,5,1
157,ocean surgeonfish,1,12,1
157,brown chromis,1,6,1
157,creole wrasse,1,7,1
157,bicolor damselfish,2,4,11
157,bluehead wrasse,2,5.5,2.5
157,redband parrotfish,2,3.5,0.25
157,striped parrotfish,2,5.5,1.5
157,yellowhead wrasse,2,6.5,2
157,blue chromis,2,6,0.75
157,ocean surgeonfish,2,13.5,0.5
157,brown chromis,2,7.5,1
157,creole wrasse,2,8.5,5.25
157,yellowtail snapper,3,10,1
157,queen angelfish,3,24,1
157,clown wrasse,3,7,1
157,harlequin bass,3,7,1
157,spanish hogfish,3,22,1
157,gray angelfish,3,40,1
157,redtail parrotfish,3,45,1
157,rock beauty,3,23,1
157,stoplight parrotfish,3,40,1
157,butter hamlet,3,7,1
157,sharpnose puffer,3,4,1
157,blue parrotfish,3,60,1
157,spotted goatfish,3,20,1
157,midnight parrotfish,3,67,1
157,balloonfish,3,18,1
157,barred hamlet,3,8,1
157,blue tang,3,15,1
157,greenblotch parrotfish,3,5,2
157,bluelip parrotfish,3,4,2
157,bicolor damselfish,3,5,24
157,bluehead wrasse,3,7,7
157,redband parrotfish,3,4,2.5
157,striped parrotfish,3,7,5
157,yellowhead wrasse,3,7,6
157,blue chromis,3,7,3.5
157,ocean surgeonfish,3,15,3
157,brown chromis,3,9,4
157,creole wrasse,3,10,12.5
157,bicolor damselfish,4,6,11
157,bluehead wrasse,4,10.5,2.5
157,redband parrotfish,4,5.5,0.25
157,striped parrotfish,4,7.5,1.5
157,yellowhead wrasse,4,10,2
157,blue chromis,4,8,0.75
157,ocean surgeonfish,4,17.5,0.5
157,brown chromis,4,10.5,1
157,creole wrasse,4,11.5,5.25
157,reef butterflyfish,5,10,1
157,princess parrotfish,5,26,1
157,bar jack,5,40,1
157,scrawled filefish,5,52,1
157,french angelfish,5,43,1
157,foureye butterflyfish,5,7,1
157,blue tang,5,15,1
157,greenblotch parrotfish,5,6,1
157,bluelip parrotfish,5,6,1
157,bicolor damselfish,5,7,1
157,bluehead wrasse,5,14,1
157,redband parrotfish,5,7,1
157,striped parrotfish,5,8,1
157,yellowhead wrasse,5,13,1
157,blue chromis,5,9,1
157,ocean surgeonfish,5,20,1
157,brown chromis,5,12,1
157,creole wrasse,5,13,1
158,doctorfish,1,20,1
158,yellowtail snapper,1,10,1
158,cocoa damselfish,1,5,1
158,gray angelfish,1,38,1
158,bluestriped grunt,1,15,1
158,striped parrotfish,1,3,1
158,redband parrotfish,1,5,1
158,tomtate,1,9,1
158,white grunt,1,8,2.2
158,tomtate,2,10.5,13
158,white grunt,2,11.5,52.8
158,hogfish,3,45,1
158,porkfish,3,15,1
158,sharpnose puffer,3,8,1
158,barred hamlet,3,7,1
158,stoplight parrotfish,3,5,1
158,bluehead wrasse,3,7,1
158,queen angelfish,3,7,1
158,bicolor damselfish,3,4,1
158,bridled goby,3,4,1
158,barred cardinalfish,3,5,1
158,cottonwick,3,7,1
158,slippery dick,3,7,1
158,french grunt,3,15,1
158,dusky damselfish,3,7,1
158,neon goby,3,3,1
158,blue parrotfish,3,8,1
158,rainbow parrotfish,3,50,1
158,striped parrotfish,3,4,1
158,redband parrotfish,3,6,2
158,tomtate,3,12,28
158,white grunt,3,15,110
158,tomtate,4,13.5,13
158,white grunt,4,19.5,52.8
158,doctorfish,5,25,1
158,yellowtail snapper,5,10,1
158,cocoa damselfish,5,6,1
158,gray angelfish,5,40,1
158,bluestriped grunt,5,18,1
158,striped parrotfish,5,4,1
158,redband parrotfish,5,10,1
158,tomtate,5,15,1
158,white grunt,5,24,2.2
159,doctorfish,1,15,1
159,blue tang,1,13,1
159,porkfish,1,25,1
159,cocoa damselfish,1,7,1
159,gray snapper,1,30,1
159,yellowtail snapper,1,10,1
159,midnight parrotfish,1,35,1
159,white grunt,1,13,1
159,striped parrotfish,1,4,1
159,tomtate,1,8,1
159,white grunt,2,15.5,2.5
159,striped parrotfish,2,5.5,5.25
159,tomtate,2,9,11.5
159,foureye butterflyfish,3,8,1
159,colon goby,3,4,1
159,stoplight parrotfish,3,7,1
159,butter hamlet,3,9,1
159,beaugregory,3,7,1
159,queen angelfish,3,11,1
159,bluestriped grunt,3,25,1
159,lantern bass,3,5,1
159,sharpnose puffer,3,5,1
159,french angelfish,3,5,1
159,bar jack,3,11,1
159,trumpetfish,3,48,1
159,black grouper,3,50,1
159,gray angelfish,3,25,1
159,spotfin butterflyfish,3,18,1
159,yellowtail snapper,3,10,1
159,midnight parrotfish,3,45,1
159,white grunt,3,18,7
159,striped parrotfish,3,7,12.5
159,tomtate,3,10,25
159,white grunt,4,20.5,2.5
159,striped parrotfish,4,8.5,5.25
159,tomtate,4,11.5,11.5
159,doctorfish,5,15,1
159,blue tang,5,15,1
159,porkfish,5,29,1
159,cocoa damselfish,5,8,1
159,gray snapper,5,35,1
159,yellowtail snapper,5,12,1
159,midnight parrotfish,5,45,1
159,white grunt,5,23,1
159,striped parrotfish,5,10,1
159,tomtate,5,13,1
160,gray angelfish,1,15,1
160,porkfish,1,20,1
160,foureye butterflyfish,1,5,1
160,white grunt,1,3,1
160,gray snapper,1,15,1
160,stoplight parrotfish,1,5,1
160,bluehead wrasse,1,7,1
160,bluestriped grunt,1,20,1
160,striped parrotfish,1,2,1
160,redband parrotfish,1,4,1
160,juvenile grunt,1,2,1
160,tomtate,1,2,1
160,striped parrotfish,2,3,12.75
160,redband parrotfish,2,4.5,0.75
160,juvenile grunt,2,2,2.75
160,tomtate,2,3,1.5
160,slippery dick,3,7,1
160,yellowhead wrasse,3,12,1
160,cocoa damselfish,3,8,1
160,doctorfish,3,15,1
160,black grouper,3,50,1
160,red grouper,3,55,1
160,spotted trunkfish,3,32,1
160,butter hamlet,3,7,1
160,banded butterflyfish,3,5,1
160,blue parrotfish,3,4,1
160,white grunt,3,15,1
160,gray snapper,3,15,1
160,stoplight parrotfish,3,5,1
160,bluehead wrasse,3,7,1
160,bluestriped grunt,3,22,2
160,striped parrotfish,3,4,27.5
160,redband parrotfish,3,5,3.5
160,juvenile grunt,3,2,7.5
160,tomtate,3,4,5
160,striped parrotfish,4,7,12.75
160,redband parrotfish,4,7.5,0.75
160,juvenile grunt,4,2.5,2.75
160,tomtate,4,5,1.5
160,gray angelfish,5,15,1
160,porkfish,5,22,1
160,foureye butterflyfish,5,5,1
160,white grunt,5,15,1
160,gray snapper,5,18,1
160,stoplight parrotfish,5,16,1
160,bluehead wrasse,5,11,1
160,bluestriped grunt,5,24,1
160,striped parrotfish,5,10,1
160,redband parrotfish,5,10,1
160,juvenile grunt,5,3,1
160,tomtate,5,6,1
161,blue tang,1,12,1
161,clown wrasse,1,6,1
161,gray angelfish,1,30,1
161,greenblotch parrotfish,1,4,1
161,harlequin bass,1,7,1
161,blue chromis,1,6,1
161,sharpnose puffer,1,3,1
161,ocean surgeonfish,1,10,1
161,bluehead wrasse,1,3,1
161,redband parrotfish,1,3,1
161,bicolor damselfish,1,3,1
161,brown chromis,1,6,1
161,creole wrasse,1,5,1
161,striped parrotfish,1,3,1
161,yellowhead wrasse,1,5,1
161,masked goby,1,2,1
161,bluehead wrasse,2,4,5.25
161,redband parrotfish,2,4.5,1
161,bicolor damselfish,2,4,15
161,brown chromis,2,7,11.5
161,creole wrasse,2,6,5.75
161,striped parrotfish,2,4.5,2
161,yellowhead wrasse,2,6,0.25
161,masked goby,2,2,0.5
161,black hamlet,3,8,1
161,roughhead blenny,3,2,1
161,bar jack,3,35,1
161,butter hamlet,3,7,1
161,stoplight parrotfish,3,28,1
161,foureye butterflyfish,3,8,1
161,graysby,3,10,1
161,rock beauty,3,13,1
161,reef butterflyfish,3,10,1
161,slender filefish,3,3,1
161,spotted goatfish,3,15,1
161,mutton snapper,3,45,1
161,harlequin bass,3,7,1
161,blue chromis,3,8,2
161,sharpnose puffer,3,4,2
161,ocean surgeonfish,3,11,2
161,bluehead wrasse,3,5,12.5
161,redband parrotfish,3,6,4
161,bicolor damselfish,3,5,32
161,brown chromis,3,8,25
161,creole wrasse,3,7,13.5
161,striped parrotfish,3,6,6
161,yellowhead wrasse,3,7,2.5
161,masked goby,3,2,3
161,bluehead wrasse,4,7.5,5.25
161,redband parrotfish,4,9.5,1
161,bicolor damselfish,4,6,15
161,brown chromis,4,9,11.5
161,creole wrasse,4,9.5,5.75
161,striped parrotfish,4,10.5,2
161,yellowhead wrasse,4,9,0.25
161,masked goby,4,2.5,0.5
161,blue tang,5,14,1
161,clown wrasse,5,7,1
161,gray angelfish,5,35,1
161,greenblotch parrotfish,5,5,1
161,harlequin bass,5,8,1
161,blue chromis,5,10,1
161,sharpnose puffer,5,4,1
161,ocean surgeonfish,5,15,1
161,bluehead wrasse,5,10,1
161,redband parrotfish,5,13,1
161,bicolor damselfish,5,7,1
161,brown chromis,5,10,1
161,creole wrasse,5,12,1
161,striped parrotfish,5,15,1
161,yellowhead wrasse,5,11,1
161,masked goby,5,3,1
162,gray snapper,1,25,1
162,bluehead wrasse,1,8,1
162,sergeant major,1,4,1
162,bluestriped grunt,1,7,1
162,stoplight parrotfish,1,3,1
162,yellowtail snapper,1,8,1
162,white grunt,1,7,1
162,tomtate,1,4,1
162,sergeant major,2,4.5,2.25
162,bluestriped grunt,2,8,0.75
162,stoplight parrotfish,2,3.5,0.25
162,yellowtail snapper,2,9,0.5
162,white grunt,2,8.5,1.5
162,tomtate,2,5,6.5
162,blue tang,3,13,1
162,porkfish,3,20,1
162,bar jack,3,18,1
162,clown wrasse,3,7,1
162,redband parrotfish,3,6,1
162,cottonwick,3,5,1
162,blue parrotfish,3,5,1
162,puddingwife,3,7,1
162,french grunt,3,9,1
162,gray snapper,3,25,1
162,bluehead wrasse,3,8,1
162,sergeant major,3,5,6.5
162,bluestriped grunt,3,9,3.5
162,stoplight parrotfish,3,4,2.5
162,yellowtail snapper,3,10,3
162,white grunt,3,10,5
162,tomtate,3,6,15
162,sergeant major,4,7.5,2.25
162,bluestriped grunt,4,19.5,0.75
162,stoplight parrotfish,4,10,0.25
162,yellowtail snapper,4,13,0.5
162,white grunt,4,14,1.5
162,tomtate,4,7,6.5
162,gray snapper,5,30,1
162,bluehead wrasse,5,13,1
162,sergeant major,5,10,1
162,bluestriped grunt,5,30,1
162,stoplight parrotfish,5,16,1
162,yellowtail snapper,5,16,1
162,white grunt,5,18,1
162,tomtate,5,8,1
163,gray angelfish,1,14,1
163,gray snapper,1,14,1
163,bluestriped grunt,1,15,1
163,white grunt,1,13,1
163,striped parrotfish,1,3,1
163,sergeant major,1,6,1
163,bar jack,1,35,1
163,gray snapper,2,16,4.25
163,bluestriped grunt,2,17.5,2.5
163,white grunt,2,16.5,3.25
163,striped parrotfish,2,4.5,1.5
163,sergeant major,2,6,0.5
163,bar jack,2,37.5,9
163,bluehead wrasse,3,10,1
163,redband parrotfish,3,10,1
163,butter hamlet,3,8,1
163,cocoa damselfish,3,8,1
163,doctorfish,3,11,1
163,porkfish,3,14,1
163,blue parrotfish,3,7,1
163,french grunt,3,12,1
163,blue tang,3,12,1
163,rosy blenny,3,5,1
163,gray snapper,3,18,10.5
163,bluestriped grunt,3,20,7
163,white grunt,3,20,8.5
163,striped parrotfish,3,6,5
163,sergeant major,3,6,3
163,bar jack,3,40,20
163,gray snapper,4,21.5,4.25
163,bluestriped grunt,4,24,2.5
163,white grunt,4,22.5,3.25
163,striped parrotfish,4,8.5,1.5
163,sergeant major,4,7,0.5
163,bar jack,4,42.5,9
163,gray angelfish,5,17,1
163,gray snapper,5,25,1
163,bluestriped grunt,5,28,1
163,white grunt,5,25,1
163,striped parrotfish,5,11,1
163,sergeant major,5,8,1
163,bar jack,5,45,1
164,sergeant major,1,6,1
164,foureye butterflyfish,1,4,1
164,rainbow parrotfish,1,45,1
164,slippery dick,1,7,1
164,redband parrotfish,1,4,1
164,doctorfish,1,15,1
164,stoplight parrotfish,1,3,1
164,white grunt,1,6,1
164,striped parrotfish,1,3,1
164,white grunt,2,10.5,19.5
164,striped parrotfish,2,3.5,9.5
164,blue tang,3,7,1
164,hogfish,3,33,1
164,cocoa damselfish,3,9,1
164,reef butterflyfish,3,7,1
164,lionfish,3,26,1
164,bluehead wrasse,3,8,1
164,bicolor damselfish,3,6,1
164,yellow jack,3,28,1
164,blue parrotfish,3,45,1
164,ocean surgeonfish,3,6,1
164,french grunt,3,10,1
164,queen angelfish,3,10,1
164,butter hamlet,3,9,1
164,porkfish,3,12,1
164,highhat,3,9,1
164,goldspot goby,3,7,1
164,stoplight parrotfish,3,7,1
164,white grunt,3,15,41
164,striped parrotfish,3,4,21
164,white grunt,4,17.5,19.5
164,striped parrotfish,4,7,9.5
164,sergeant major,5,8,1
164,foureye butterflyfish,5,7,1
164,rainbow parrotfish,5,65,1
164,slippery dick,5,9,1
164,redband parrotfish,5,11,1
164,doctorfish,5,20,1
164,stoplight parrotfish,5,7,1
164,white grunt,5,20,1
164,striped parrotfish,5,10,1
165,reef butterflyfish,1,6,1
165,spotfin butterflyfish,1,8,1
165,greenblotch parrotfish,1,5,1
165,harlequin bass,1,8,1
165,sharpnose puffer,1,5,1
165,yellowhead wrasse,1,7,1
165,blue tang,1,12,1
165,bicolor damselfish,1,3,1
165,blue chromis,1,6,1
165,brown chromis,1,5,1
165,bluehead wrasse,1,5,1
165,redband parrotfish,1,7,1
165,striped parrotfish,1,5,1
165,creole wrasse,1,4,3
165,bicolor damselfish,2,4.5,8.25
165,blue chromis,2,6.5,3.25
165,brown chromis,2,6,8.25
165,bluehead wrasse,2,5.5,16.5
165,redband parrotfish,2,8.5,0.5
165,striped parrotfish,2,6,0.25
165,creole wrasse,2,5,72
165,cocoa damselfish,3,7,1
165,ocean surgeonfish,3,13,1
165,stoplight parrotfish,3,28,1
165,redtail parrotfish,3,35,1
165,white grunt,3,15,1
165,foureye butterflyfish,3,6,1
165,clown wrasse,3,10,1
165,rock beauty,3,10,1
165,spanish hogfish,3,18,1
165,scrawled filefish,3,50,1
165,gray angelfish,3,27,1
165,french angelfish,3,30,1
165,spotted trunkfish,3,35,1
165,graysby,3,15,1
165,trumpetfish,3,40,1
165,yellowhead wrasse,3,12,2
165,blue tang,3,12,2
165,bicolor damselfish,3,6,18.5
165,blue chromis,3,7,8.5
165,brown chromis,3,7,18.5
165,bluehead wrasse,3,6,35
165,redband parrotfish,3,10,3
165,striped parrotfish,3,7,2.5
165,creole wrasse,3,6,150
165,bicolor damselfish,4,7,8.25
165,blue chromis,4,8,3.25
165,brown chromis,4,7,8.25
165,bluehead wrasse,4,9.5,16.5
165,redband parrotfish,4,17.5,0.5
165,striped parrotfish,4,7.5,0.25
165,creole wrasse,4,6.5,72
165,reef butterflyfish,5,8,1
165,spotfin butterflyfish,5,10,1
165,greenblotch parrotfish,5,6,1
165,harlequin bass,5,9,1
165,sharpnose puffer,5,7,1
165,yellowhead wrasse,5,13,1
165,blue tang,5,15,1
165,bicolor damselfish,5,8,1
165,blue chromis,5,9,1
165,brown chromis,5,7,1
165,bluehead wrasse,5,13,1
165,redband parrotfish,5,25,1
165,striped parrotfish,5,8,1
165,creole wrasse,5,7,3
166,reef butterflyfish,1,8,1
166,ocean surgeonfish,1,10,1
166,spotfin butterflyfish,1,13,1
166,sharpnose puffer,1,3,1
166,yellowhead wrasse,1,3,1
166,foureye butterflyfish,1,7,1
166,scrawled filefish,1,40,1
166,brown chromis,1,7,1
166,bicolor damselfish,1,3,1
166,bluehead wrasse,1,3,1
166,blue chromis,1,7,1
166,masked goby,1,2,1
166,striped parrotfish,1,5,1
166,princess parrotfish,1,6,1
166,creole wrasse,1,7,1
166,blue runner,1,15,1.8
166,brown chromis,2,8.5,4
166,bicolor damselfish,2,4.5,14.25
166,bluehead wrasse,2,4.5,9
166,blue chromis,2,8.5,0.75
166,masked goby,2,2.5,5.5
166,striped parrotfish,2,5.5,0.5
166,princess parrotfish,2,6.5,0.75
166,creole wrasse,2,8.5,4
166,blue runner,2,17.5,43.2
166,mutton snapper,3,70,1
166,blue parrotfish,3,70,1
166,rock beauty,3,8,1
166,butter hamlet,3,10,1
166,black grouper,3,85,1
166,balloonfish,3,15,1
166,barracuda,3,80,1
166,stoplight parrotfish,3,35,1
166,cero,3,45,1
166,queen angelfish,3,32,1
166,clown wrasse,3,8,1
166,graysby,3,13,1
166,harlequin bass,3,8,1
166,cocoa damselfish,3,8,1
166,french angelfish,3,38,1
166,blue tang,3,14,1
166,doctorfish,3,15,1
166,sharpnose puffer,3,4,1
166,yellowhead wrasse,3,7,2
166,foureye butterflyfish,3,8,2
166,scrawled filefish,3,45,2
166,brown chromis,3,10,10
166,bicolor damselfish,3,6,30.5
166,bluehead wrasse,3,6,20
166,blue chromis,3,10,3.5
166,masked goby,3,3,13
166,striped parrotfish,3,6,3
166,princess parrotfish,3,7,3.5
166,creole wrasse,3,10,10
166,blue runner,3,20,90
166,brown chromis,4,11,4
166,bicolor damselfish,4,7.5,14.25
166,bluehead wrasse,4,8.5,9
166,blue chromis,4,10,0.75
166,masked goby,4,3,5.5
166,striped parrotfish,4,9,0.5
166,princess parrotfish,4,11,0.75
166,creole wrasse,4,11,4
166,blue runner,4,22.5,43.2
166,reef butterflyfish,5,10,1
166,ocean surgeonfish,5,12,1
166,spotfin butterflyfish,5,15,1
166,sharpnose puffer,5,5,1
166,yellowhead wrasse,5,11,1
166,foureye butterflyfish,5,10,1
166,scrawled filefish,5,55,1
166,brown chromis,5,12,1
166,bicolor damselfish,5,9,1
166,bluehead wrasse,5,11,1
166,blue chromis,5,10,1
166,masked goby,5,3,1
166,striped parrotfish,5,12,1
166,princess parrotfish,5,15,1
166,creole wrasse,5,12,1
166,blue runner,5,25,1.8
168,cocoa damselfish,1,3,1
168,striped parrotfish,1,3,1
168,white grunt,1,7,1
168,sergeant major,1,5,1
168,striped parrotfish,2,4.5,3.5
168,white grunt,2,8.5,0.25
168,sergeant major,2,5.5,0.75
168,stoplight parrotfish,3,3,1
168,goldspot goby,3,7,1
168,bluehead wrasse,3,7,1
168,foureye butterflyfish,3,6,1
168,blue parrotfish,3,8,1
168,redband parrotfish,3,11,1
168,blue tang,3,12,1
168,gray snapper,3,35,1
168,butter hamlet,3,8,1
168,queen angelfish,3,10,1
168,porgy sp.,3,11,1
168,yellowtail snapper,3,45,1
168,striped parrotfish,3,6,9
168,white grunt,3,10,2.5
168,sergeant major,3,6,3.5
168,striped parrotfish,4,7,3.5
168,white grunt,4,11,0.25
168,sergeant major,4,6.5,0.75
168,cocoa damselfish,5,8,1
168,striped parrotfish,5,8,1
168,white grunt,5,12,1
168,sergeant major,5,7,1
169,cocoa damselfish,1,6,1
169,foureye butterflyfish,1,3,1
169,french grunt,1,5,1
169,blue tang,1,11,1
169,white grunt,1,8,1
169,striped parrotfish,1,3,1
169,gray snapper,1,25,1
169,sergeant major,1,4,1
169,bluestriped grunt,1,20,1
169,white grunt,2,8.5,0.75
169,striped parrotfish,2,4.5,4.5
169,gray snapper,2,27.5,0.25
169,sergeant major,2,4.5,0.25
169,bluestriped grunt,2,22.5,0.5
169,stoplight parrotfish,3,8,1
169,black grouper,3,14,1
169,queen angelfish,3,7,1
169,blue parrotfish,3,5,1
169,porkfish,3,13,1
169,doctorfish,3,13,1
169,spotfin butterflyfish,3,16,1
169,redband parrotfish,3,12,1
169,ocean surgeonfish,3,6,1
169,bluehead wrasse,3,10,1
169,balloonfish,3,25,1
169,gag grouper,3,67,1
169,foureye butterflyfish,3,7,1
169,french grunt,3,7,1
169,blue tang,3,13,2
169,white grunt,3,9,3.5
169,striped parrotfish,3,6,11
169,gray snapper,3,30,2.5
169,sergeant major,3,5,2.5
169,bluestriped grunt,3,25,3
169,white grunt,4,19.5,0.75
169,striped parrotfish,4,8.5,4.5
169,gray snapper,4,32.5,0.25
169,sergeant major,4,6,0.25
169,bluestriped grunt,4,25,0.5
169,cocoa damselfish,5,9,1
169,foureye butterflyfish,5,7,1
169,french grunt,5,7,1
169,blue tang,5,15,1
169,white grunt,5,30,1
169,striped parrotfish,5,11,1
169,gray snapper,5,35,1
169,sergeant major,5,7,1
169,bluestriped grunt,5,25,1
170,gray snapper,1,28,1
170,cocoa damselfish,1,6,1
170,yellowtail snapper,1,11,1
170,french grunt,1,7,1
170,redband parrotfish,1,3,1
170,white grunt,1,9,1
170,bluestriped grunt,1,9,1
170,white grunt,2,9.5,11
170,bluestriped grunt,2,9.5,0.25
170,bluehead wrasse,3,12,1
170,ocean surgeonfish,3,13,1
170,stoplight parrotfish,3,10,1
170,foureye butterflyfish,3,5,1
170,gray angelfish,3,18,1
170,butter hamlet,3,6,1
170,blue tang,3,16,1
170,slippery dick,3,8,1
170,striped parrotfish,3,8,1
170,goldspot goby,3,6,1
170,rainbow parrotfish,3,48,1
170,colon goby,3,4,1
170,hogfish,3,35,1
170,blue angelfish,3,40,1
170,trumpetfish,3,44,1
170,balloonfish,3,25,1
170,redband parrotfish,3,5,1
170,white grunt,3,10,24
170,bluestriped grunt,3,10,2.5
170,white grunt,4,11.5,11
170,bluestriped grunt,4,12.5,0.25
170,gray snapper,5,34,1
170,cocoa damselfish,5,8,1
170,yellowtail snapper,5,13,1
170,french grunt,5,8,1
170,redband parrotfish,5,6,1
170,white grunt,5,13,1
170,bluestriped grunt,5,15,1
171,rock beauty,1,11,1
171,blue tang,1,12,1
171,reef butterflyfish,1,10,1
171,sharpnose puffer,1,3,1
171,greenblotch parrotfish,1,3,1
171,creole wrasse,1,4,1
171,blue chromis,1,5,1
171,bicolor damselfish,1,3,1
171,ocean surgeonfish,1,14,1
171,redband parrotfish,1,3,1
171,striped parrotfish,1,2,1
171,yellowhead wrasse,1,5,1
171,bluehead wrasse,1,2,1
171,masked goby,1,1,1
171,scad sp.,1,10,3
171,blue chromis,2,6,2.75
171,bicolor damselfish,2,4,9.75
171,ocean surgeonfish,2,15,0.5
171,redband parrotfish,2,4.5,1.5
171,striped parrotfish,2,3.5,2.5
171,yellowhead wrasse,2,6,0.5
171,bluehead wrasse,2,3.5,7
171,masked goby,2,1.5,10.5
171,scad sp.,2,11.5,72
171,white grunt,3,32,1
171,butter hamlet,3,6,1
171,barred hamlet,3,9,1
171,brown chromis,3,5,1
171,clown wrasse,3,7,1
171,cocoa damselfish,3,6,1
171,redtail parrotfish,3,35,1
171,barracuda,3,130,1
171,bar jack,3,18,1
171,mutton snapper,3,60,1
171,spanish hogfish,3,35,1
171,harlequin bass,3,7,1
171,french grunt,3,15,1
171,foureye butterflyfish,3,7,1
171,stoplight parrotfish,3,8,1
171,graysby,3,17,1
171,princess parrotfish,3,3,1
171,creole wrasse,3,5,1
171,blue chromis,3,7,7.5
171,bicolor damselfish,3,5,21.5
171,ocean surgeonfish,3,16,3
171,redband parrotfish,3,6,5
171,striped parrotfish,3,5,7
171,yellowhead wrasse,3,7,3
171,bluehead wrasse,3,5,16
171,masked goby,3,2,23
171,scad sp.,3,13,150
171,blue chromis,4,8.5,2.75
171,bicolor damselfish,4,6,9.75
171,ocean surgeonfish,4,16.5,0.5
171,redband parrotfish,4,10.5,1.5
171,striped parrotfish,4,6.5,2.5
171,yellowhead wrasse,4,9.5,0.5
171,bluehead wrasse,4,8.5,7
171,masked goby,4,2.5,10.5
171,scad sp.,4,14.5,72
171,rock beauty,5,23,1
171,blue tang,5,14,1
171,reef butterflyfish,5,11,1
171,sharpnose puffer,5,4,1
171,greenblotch parrotfish,5,4,1
171,creole wrasse,5,5,1
171,blue chromis,5,10,1
171,bicolor damselfish,5,7,1
171,ocean surgeonfish,5,17,1
171,redband parrotfish,5,15,1
171,striped parrotfish,5,8,1
171,yellowhead wrasse,5,12,1
171,bluehead wrasse,5,12,1
171,masked goby,5,3,1
171,scad sp.,5,16,3
172,bluelip parrotfish,1,3,1
172,yellowhead wrasse,1,3,1
172,yellowhead jawfish,1,7,1
172,spotfin butterflyfish,1,12,1
172,reef butterflyfish,1,8,1
172,striped parrotfish,1,8,1
172,rock beauty,1,10,1
172,greenblotch parrotfish,1,8,1
172,ocean surgeonfish,1,8,1
172,sharpnose puffer,1,3,1
172,bicolor damselfish,1,3,1
172,blue chromis,1,5,1
172,redband parrotfish,1,3,1
172,sharpnose puffer,2,3.5,0.25
172,bicolor damselfish,2,4,7
172,blue chromis,2,6,0.25
172,redband parrotfish,2,4,0.75
172,bluehead wrasse,3,13,1
172,butter hamlet,3,8,1
172,harlequin bass,3,7,1
172,blue tang,3,15,1
172,white grunt,3,28,1
172,hogfish,3,30,1
172,coney,3,25,1
172,stoplight parrotfish,3,10,1
172,spotted goatfish,3,17,1
172,foureye butterflyfish,3,9,1
172,graysby,3,16,1
172,clown wrasse,3,8,1
172,gray angelfish,3,37,1
172,greenblotch parrotfish,3,6,1
172,ocean surgeonfish,3,11,2
172,sharpnose puffer,3,4,2.5
172,bicolor damselfish,3,5,16
172,blue chromis,3,7,2.5
172,redband parrotfish,3,5,3.5
172,sharpnose puffer,4,5,0.25
172,bicolor damselfish,4,6,7
172,blue chromis,4,7.5,0.25
172,redband parrotfish,4,9,0.75
172,bluelip parrotfish,5,4,1
172,yellowhead wrasse,5,13,1
172,yellowhead jawfish,5,8,1
172,spotfin butterflyfish,5,13,1
172,reef butterflyfish,5,9,1
172,striped parrotfish,5,9,1
172,rock beauty,5,20,1
172,greenblotch parrotfish,5,10,1
172,ocean surgeonfish,5,14,1
172,sharpnose puffer,5,6,1
172,bicolor damselfish,5,7,1
172,blue chromis,5,8,1
172,redband parrotfish,5,13,1
173,graysby,1,15,1
173,french grunt,1,15,1
173,rock beauty,1,10,1
173,greenblotch parrotfish,1,4,1
173,foureye butterflyfish,1,7,1
173,sharpnose puffer,1,3,1
173,ocean surgeonfish,1,12,1
173,yellowhead wrasse,1,2,1
173,redband parrotfish,1,3,1
173,bluehead wrasse,1,4,1
173,striped parrotfish,1,5,1
173,bicolor damselfish,1,2,1
173,blue chromis,1,7,1
173,bar jack,1,18,1
173,masked goby,1,1,1.4000000000000001
173,creole wrasse,1,10,1.5
173,yellowhead wrasse,2,4.5,1.25
173,redband parrotfish,2,5.5,1.25
173,bluehead wrasse,2,4.5,4.25
173,striped parrotfish,2,7.5,1.75
173,bicolor damselfish,2,4,11.75
173,blue chromis,2,7,1.25
173,bar jack,2,19,0.75
173,masked goby,2,2,33.599999999999994
173,creole wrasse,2,11,36
173,harlequin bass,3,5,1
173,cocoa damselfish,3,7,1
173,clown wrasse,3,7,1
173,spotted goatfish,3,19,1
173,butter hamlet,3,10,1
173,blue tang,3,13,1
173,black hamlet,3,7,1
173,brown chromis,3,8,1
173,princess parrotfish,3,38,1
173,french angelfish,3,40,1
173,reef butterflyfish,3,8,1
173,smooth trunkfish,3,23,1
173,banded butterflyfish,3,10,1
173,mutton snapper,3,60,1
173,spanish hogfish,3,12,1
173,red grouper,3,50,1
173,gray angelfish,3,40,1
173,doctorfish,3,10,1
173,white grunt,3,20,1
173,cero,3,50,1
173,yellowtail snapper,3,11,1
173,sharpnose puffer,3,3,1
173,ocean surgeonfish,3,15,2
173,yellowhead wrasse,3,7,4.5
173,redband parrotfish,3,8,4.5
173,bluehead wrasse,3,5,10.5
173,striped parrotfish,3,10,5.5
173,bicolor damselfish,3,6,25.5
173,blue chromis,3,7,4.5
173,bar jack,3,20,3.5
173,masked goby,3,3,70
173,creole wrasse,3,12,75
173,yellowhead wrasse,4,9.5,1.25
173,redband parrotfish,4,11.5,1.25
173,bluehead wrasse,4,8.5,4.25
