order,family,binomial,common_name,cryptic and schooling?,lifestage,predator_presence,present in predator surveys?,Vulnerability rank,Red List category,recorded in diet?,Endemic?,Range size (sq. km),depth upper,depth lower,depth range,cleaner score,nocturnal,structured habitat?,structured habitat (binary)?,soft bottom?,soft bottom (binary)?,bottom score,estuary?,estuary (binary)?,seagrass?,seagrass (binary)?,mangrove?,mangrove (binary)?,rocky reef?,rocky reef (binary)?,coral?,coral (binary)?,total habitats,habitat score,position,position score,behavior,max_length,measure,length_source,length score,ratio (REEF interns1),ratio (REEF interns2),ratio (REEF interns3),ratio avg (REEF),ratio (Green and Cote 2014),ratio adult (Christi),final ratio,ratio score,cryptic_colouration,cryptic colouration notes,conspicuous_colouration,conspicuous colouration notes,colouration reference,colouration_count,colouration_cont,colouration_cat1,colouration_cat2,colouration_cat3,cryptic_behaviour,cryptic behaviour notes,conspicuous behaviour,conspicuous behaviour notes,behaviour reference,florida commonality,commonality reference,FishBase Probability of Occurrence in Florida Region,Notes on FishBase Probability of Occurrence,trophic_position,Trophic Position Source,Trophic Level,Trophic Notes (from FishBase),shape
Perciformes,Epinephelidae,Cephalopholis fulva,coney,0,adult,1,1,5,LC,no,no,3490024,1,45,44,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,41,TL,,0,3.6,4.3,3.8,3.9,4.1,4,4,1,0,,1,spotted and brightly coloured,FishBase,1,1,conspicuous,neutral pattern,neutral,1,usually take refuge during day,1,wary but approachable,FishBase,common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=235&menuentry=soorten),0.2-1,more common near tip,carnivore,,4.1,Feed mainly on small fishes and crustaceans,fusiform
Perciformes,Epinephelidae,Epinephelus adscensionis,rock hind,0,adult,1,1,4,LC,yes,no,4243462,2,100,98,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,60,TL,,0,2.7,3.4,NA,3.1,4.5,3.7,3.7,1,0,,1,spots,FishBase,1,1,conspicuous,neutral pattern,neutral,1,usually solitary and difficult to approach,0,,FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=234&menuentry=soorten),0.8-1,abundant throughout,invertivore,,3.5,Feeds mainly on crabs (67%) and fishes (20%).,fusiform
Perciformes,Epinephelidae,Epinephelus guttatus,red hind,0,adult,1,1,4,LC,no,yes,2993522,2,100,98,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,76,TL,,0,3.3,3.1,NA,3.2,4,3.6,3.6,1,0,,1,spots,FishBase,1,1,conspicuous,neutral pattern,neutral,0,,1,in water column and easily approached by divers,FishBase,occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=233&menuentry=soorten),NA,no map provided,invertivore,,3.8,"Feed mainly on crabs (Calapa and Mithrax) and other crustaceans (alpheid shrimps and scyllarid lobsters), fishes (labrids and haemulids), and octopus.",fusiform
Perciformes,Epinephelidae,Epinephelus morio,red grouper,0,adult,1,1,4,VU,no,no,3293944,5,300,295,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,125,TL,,0,3.3,NA,NA,3.3,NA,3.5,3.4,1,0,,0,,,0,0,none,neutral pattern,neutral,1,"""Uncommon around coral reefs. Usually rest on the bottom""",0,,FishBase,common,The Outdoor Lodge (http://www.theoutdoorlodge.com/fishing/species/groupers.html),0.2-1,less common close to shore,carnivore,,3.5,Feed on a wide variety of fishes and invertebrates.,fusiform
Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,0,adult,1,1,4,CR,yes,yes,2699144,0,130,130,1,0,yes,1,yes,1,2,yes,1,yes,1,yes,1,yes,1,yes,1,5,1,demersal,1,solitary,100,TL,,0,3.2,2.8,NA,3,3.9,3.7,3.5,1,0,,1,white stripes and spots,FishBase,1,1,conspicuous,neutral pattern,neutral,1,usually solitary and close to caves,0,,FishBase,"""most common in south Florida. In east central Florida, they are not common""",Smithsonian Marine Station at Fort Pierce (https://naturalhistory2.si.edu/smsfp/irlspec/Epinep_striat.htm),0.01-1,more common near tip,carnivore,,4.1,Diet comprises mainly of fishes (54%) and crabs (23%) and lesser amounts of other crustaceans and mollusks.,fusiform
Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,0,adult,1,1,4,NT,no,no,3488487,6,75,69,1,0,yes,1,yes,1,2,yes,1,no,0,yes,1,yes,1,yes,1,4,1,demersal,1,solitary,152,TL,,0,3.8,3,3.3,3.4,NA,3.5,3.4,1,0,,0,,FishBase,0,0,none,neutral pattern,neutral,1,difficult to approach; sometimes in holes ,1,in water colum ,FishBase; Delph Fishing (https://www.delphfishing.com/black-grouper-fishing-key-west-florida-keys/),particularly associated with florida --> common?,NOAA Fisheries (https://www.fisheries.noaa.gov/species/black-grouper),NA,no map provided,carnivore,,4.3,Adults feed primarily on fishes; juveniles mainly on crustaceans.,fusiform
Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,0,adult,1,1,4,VU,no,no,1038713,33,167,134,1,0,yes,1,yes,1,2,yes,1,yes,1,no,0,yes,1,yes,1,4,1,demersal,1,solitary,145,TL,,0,2.6,NA,NA,2.6,NA,4.1,3.4,1,0,,0,,FishBase,0,0,none,neutral pattern,neutral,1,found near bottom and on rocky ledges; often solitary,1,sometimes shoaling; in water column ,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/mycteroperca-microlepis/),NA,,0.8-1,common throughout,carnivore,,3.7,"feed mainly on fishes, some crabs, shrimps, and cephalopods. ",fusiform
Perciformes,Epinephelidae,Mycteroperca phenax,scamp,0,adult,1,0,4,DD,no,yes,1207286,30,100,70,1,0,yes,1,yes,1,2,yes,1,no,0,yes,1,yes,1,yes,1,4,1,demersal,1,solitary,107,TL,,0,3.2,NA,NA,3.2,NA,3.7,3.4,1,0,,1,spots,FishBase,1,1,conspicuous,neutral pattern,neutral,0,,1,in water column,FishBase,NA,,0.8-1,abundant throughout,carnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3525),4.5,,fusiform
Perciformes,Epinephelidae,Rypticus saponaceus,greater soapfish,0,adult,1,0,4,LC,no,no,4476820,0,140,140,1,0,yes,1,yes,1,2,yes,1,no,0,no,0,yes,1,yes,1,3,1,demersal,1,solitary,35,TL,,0,3.9,3,2.6,3.2,NA,3.7,3.4,1,0,,0,,FishBase,0,0,none,neutral,neutral,1,"solitary and ""Often found lying motionless against rocks""",0,,FishBase,occasional ,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=194&menuentry=soorten),0.8-1,abundant throughout ,carnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3542),4.1,,fusiform
Perciformes,Gobiidae,Coryphopterus dicrus,colon goby,0,adult,0,0,5,LC,yes,no,3683845,3,20,17,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,5,TL,,1,5.4,5.7,5.4,5.5,6,5.5,5.7,1,1,transluscent,0,,FishBase,1,-1,cryptic,camouflage,camouflage,1,found on bottom,0,,FishBase,NA,,0.01-1,more common near tip,omnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4116),2.7,TROPHIC LEVEL BASED ON CLOSEST RELATIVES,elongated
Perciformes,Gobiidae,Coryphopterus eidolon,pallid goby,0,adult,0,0,5,VU,yes,yes,2422635,6,54,48,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,6,TL,,1,5,5.8,5.2,5.3,6.6,5,5.7,1,1,transluscent,0,,FishBase,1,-1,cryptic,camouflage,camouflage,1,on bottom in areas of protected sand,0,,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4117),NA,,0-1,more common at tip; few areas of high probability,omnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4117),2,,elongated
Perciformes,Gobiidae,Coryphopterus glaucofraenum,bridled goby,0,adult,0,0,5,LC,yes,no,3511766,2,45,43,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,8,TL,,1,4.8,5,5.3,5,5.6,5.9,5.5,1,1,camoflauged,0,,FishBase,1,-1,cryptic,camouflage,camouflage,1,burrow in sand; found near bottom,0,,FishBase,NA,,0.8-1,common throughout,omnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4118),2.7,,elongated
Perciformes,Gobiidae,Coryphopterus personatus,masked goby,0,adult,0,0,5,VU,yes,yes,2442999,3,46,43,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,4,TL,,1,5,8.9,5.9,6.6,6.2,5.8,6.2,1,0,,1,white spots,FishBase,1,1,conspicuous,colourful,colourful,1,"""Hovers above bottom in caves and shaded areas in reefs""",1,schools near coral ,FishBase,common,KP Aquatics (https://www.kpaquatics.com/product/masked-goby/),0-1,more common near tip,planktivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4121),2.7,,elongated
Perciformes,Gobiidae,Ctenogobius saepepallens,dash goby,0,adult,0,0,4,LC,no,yes,2470740,0,40,40,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,benthic,0,solitary,5,TL,,1,7.5,8.2,7.1,7.6,8.7,7.8,8,1,1,transluscent,0,,FishBase,1,-1,cryptic,camouflage,camouflage,1,on bottom; sometimes shares burrows with shrimp,0,,FishBase,NA,,0-1,more common near tip,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4131),3.4,,elongated
Perciformes,Gobiidae,Elacatinus oceanops,neon goby,0,adult,0,0,4,LC,yes,yes,584135,1,45,44,0,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,5,TL,,1,7.2,0.8,6,4.7,NA,6.7,5.7,1,0,,1,blue stripe,FishBase,1,1,conspicuous,colourful,colourful,0,,1,in water column,FishBase,NA,,0-1,only near tip,invertivore,,3.5,"Food items include benthic crustaceans, worms, and other benthic invertebrates.",elongated
Perciformes,Gobiidae,Gnatholepis thompsoni,goldspot goby,0,adult,0,0,5,LC,yes,no,3224036,3,58,55,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,8.2,TL,FishBase,1,5.6,6.3,5.5,5.8,6.4,5.8,6,1,1,camoflauged,0,,FishBase,1,-1,cryptic,camouflage,camouflage,0,,1,found in open areas,FishBase,NA,,0.8-1,abundant throughout ,omnivore,,2.3,Feeds on organisms and organic material,elongated
Perciformes,Gobiidae,Nes longus,orangespotted goby,0,adult,0,0,5,LC,no,yes,1700433,0,18,18,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,10,TL,,1,10.2,8,6.5,8.2,NA,7.8,8,1,1,camoflauged,0,,FishBase,1,-1,cryptic,camouflage,camouflage,1,"""live in burrows in association with a shrimp.""",0,,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4206),NA,,0-1,only found near tip,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4206),3.4,,elongated
Perciformes,Gobiidae,Tigrigobius macrodon,tiger goby,0,adult,0,0,5,LC,no,yes,1695388,3,60,57,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,5,TL,,1,5.8,5.5,5.3,5.5,NA,5.7,5.6,1,0,,1,dark stripes,FishBase,1,1,conspicuous,neutral pattern,neutral,1,"""Inhabits rock faces and tide pools (often under red algae), pilings and surfaces of large sponges.""",0,,FishBase,NA,,0-1,more common nearshore,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4147),3.3,BASED ON CLOSEST RELATIVES,elongated
Perciformes,Haemulidae,Anisotremus surinamensis,black margate,0,adult,1,0,3,DD,yes,no,3529513,0,20,20,1,0,yes,1,no,0,1,yes,1,no,0,no,0,yes,1,yes,1,3,1,demersal,1,solitary,76,TL,,0,2.7,2.9,2.9,2.8,NA,2.8,2.8,0,1,sivering,0,,FishBase,1,-1,cryptic,silvering,silvering,1,"""Often near the shelter of caves, ledges, or wrecks """,0,,FishBase,occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=214),0-1,more common on West side of tip,invertivore,,3.6,"Feeds at night on crustaceans, mollusks, smaller fish, and the long-spined urchin, Diadema. ",compressiform
Perciformes,Haemulidae,Anisotremus virginicus,porkfish,0,adult,0,0,5,LC,yes,no,3627650,0,50,50,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,40.6,TL,,0,3.7,3.9,3.1,3.6,NA,2.4,3.1,1,0,,1,black bars,FishBase,1,1,conspicuous,colourful,colourful,1,nocturnal,0,,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/anisotremus-virginicus/),NA,,0.01-1,less common in NE,invertivore,,3.6,"Feeds at night on mollusks, echinoderms, annelids, and crustaceans",compressiform
Perciformes,Haemulidae,Haemulon album,white margate,0,adult,0,0,5,DD,no,yes,2015597,2,60,58,1,1,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,79,TL,,0,3.1,3.1,3.5,3.2,NA,3,3.1,1,0,,0,,FishBase,0,0,none,silvering,silvering,0,,1,in water column and can school,FishBase,NA,,0.01-1,more common at tip,invertivore,,3.3,Has been observed to nose into the sand to eat such subsurface invertebrates as peanut worms and heart urchins,fusiform
Perciformes,Haemulidae,Haemulon aurolineatum,tomtate,0,adult,0,0,4,LC,yes,no,4122683,1,55,54,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,25,TL,,0,4.5,4.6,4.4,4.5,4.2,3.7,4.1,1,0,,0,,FishBase,0,0,none,colourful,colourful,0,,1,in water column and schools,FishBase,NA,,0.8-1,abundant throughout,omnivore,,4.4,"Feeds on small crustaceans, mollusks, other benthic invertebrates, plankton, and alga",fusiform
Perciformes,Haemulidae,Haemulon bonariense,black grunt,0,adult,0,0,4,LC,no,yes,1482640,1,30,29,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,40,TL,,0,3.2,3,2.9,3,NA,3.2,3.1,1,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,in water column,FishBase,,,0-1,only found at tip,carnivore,,3.5,,fusiform
Perciformes,Haemulidae,Haemulon carbonarium,caesar grunt,0,adult,0,0,5,LC,no,yes,2512627,1,40,39,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,42.5,TL,,0,4.1,3.5,3.9,3.8,NA,3,3.4,1,0,,0,,FishBase,0,0,none,colourful,colourful,0,,1,in water column; schooling,FishBase,NA,,0-1,more common near tip,invertivore,,3.7,"Nocturnal feeder on crabs, gastropods, starfish and annelid worms",fusiform
Perciformes,Haemulidae,Haemulon chrysargyreum,smallmouth grunt,0,adult,0,0,5,LC,yes,yes,2531607,0,40,40,1,1,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,schooling,23,TL,,0,4.7,5.3,4.4,4.8,NA,3.6,4.2,1,0,,0,,FishBase,0,0,none,colourful,colourful,0,,1,in water column and schools,FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=211&menuentry=soorten),0-1,more common at tip,planktivore,,3.5,"feed on mainly on plankton (Ref. 9626), but also on small crustaceans and mollusks.",fusiform
Perciformes,Haemulidae,Haemulon flavolineatum,french grunt,0,adult,0,0,4,LC,yes,yes,2664939,0,40,40,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,schooling,30,TL,,0,6,3.3,4.4,4.6,4,3.4,4,1,0,,0,,FishBase,0,0,none,colourful,colourful,1,often under ledges,1,schooling in water column,FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=210&menuentry=soorten),0.2-1,more common near tip,invertivore,,3.5,Feeds mainly on small crustaceans,fusiform
Perciformes,Haemulidae,Haemulon macrostomum,spanish grunt,0,adult,0,0,4,LC,no,yes,2603577,1,40,39,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,43,TL,,0,4,3.5,3.5,3.7,NA,3.2,3.4,1,0,,0,,FishBase,0,0,none,silvering,silvering,0,,1,"in water column; ""forms dense schools""",FishBase,NA,,0-1,more common at tip,invertivore,,3.3,Feeds on crustaceans and sea urchins ,fusiform
Perciformes,Haemulidae,Haemulon melanurum,cottonwick,0,adult,0,0,4,LC,yes,no,3128664,2,40,38,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,35,TL,,0,3.8,3.7,3.8,3.8,4.3,3.6,3.9,1,0,,1,black bar,FishBase,1,1,conspicuous,colourful,colourful,0,,1,schools in water column,FishBase,NA,,0.01-1,more common near tip,invertivore,,2.2,Feeds on crustaceans,fusiform
Perciformes,Haemulidae,Haemulon parra,sailor's choice,0,adult,0,0,5,LC,no,no,3776620,0,40,40,1,1,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,schooling,40,TL,,0,3.4,4,3.6,3.7,NA,3.4,3.5,1,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,schools in open areas,FishBase,common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=213&menuentry=soorten),0-1,more common near tip,carnivore,,3.5,Feeds at night on mollusks and small fishes,compressiform
Perciformes,Haemulidae,Haemulon plumierii,white grunt,0,adult,0,0,4,LC,yes,no,3987924,0,70,70,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,59,TL,,0,3.4,3.2,3.2,3.3,3.6,3.1,3.3,1,0,,0,,FishBase,0,0,none,silvering,silvering,0,,1,in water column and schooling,FishBase,abundant,Discover the Outdoors (http://www.discovertheoutdoors.com/swfishing/species-profile/398); not specific to Florida,0.8-1,abundant throughout,carnivore,,3.8,"Feeds on crustaceans, small mollusks, and small fishes.",compressiform
Perciformes,Haemulidae,Haemulon sciurus,bluestriped grunt,0,adult,0,0,4,LC,yes,yes,2674580,0,40,40,1,0,yes,1,yes,1,2,yes,1,yes,1,yes,1,yes,1,yes,1,5,1,demersal,1,schooling,46,TL,,0,3.7,3.6,4.3,3.9,3.3,3.5,3.6,1,0,,0,,FishBase,0,0,none,colourful,colourful,0,,1,found in small schools and in water column,FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=212&menuentry=soorten),0.01-1,more common offshore,invertivore,,3.5,"Feeds on crustaceans, bivalves, and occasionally on small fishes",fusiform
Perciformes,Haemulidae,Haemulon striatum,striped grunt,0,adult,0,0,5,LC,no,no,3767251,10,100,90,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,28,TL,,0,4.1,5.1,5.4,4.8,NA,3.8,4.3,1,0,,0,,FishBase,0,0,none,colourful,colourful,0,,1,in water column,FishBase,NA,,0.01-1,more common offshore and near tip,planktivore,,3.4,Feeds mainly on plankton (Ref. 5217); small crustaceans,fusiform
Perciformes,Kyphosidae,Kyphosus sectatrix,bermuda chub,0,adult,0,0,3,LC,no,no,30633524,0,40,40,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,76,TL,,0,2.7,3,2.9,2.9,NA,2.7,2.8,0,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,in the water column,FishBase,common to occasional ,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=191&menuentry=soorten),0.8-1,common throughout,omnivore,,2,"Feeds on plants, mainly on benthic algae, as well as on small crabs and mollusks",compressiform
Perciformes,Kyphosidae,Kyphosus vaigiensis,yellow chub,0,adult,0,0,3,LC,no,no,28606030,0,30,30,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,70,TL,,0,2.8,2.9,2.9,2.8,NA,2.7,2.8,0,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,in water column; schooling; usually in exposed areas,FishBase,NA,,NA,no probabilities shown for Florida region,omnivore,,2,Adults are carnivorous during summer and autumn but feed on Endarachne binghamiae during winter,compressiform
Perciformes,Labridae,Bodianus rufus,spanish hogfish,0,adult,0,0,4,LC,yes,no,3352323,1,30,29,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,40,TL,,0,2.6,3.7,3.1,3.1,4.1,3.7,3.6,1,0,,1,yellow,FishBase,1,1,conspicuous,colourful and patterned,colourful,0,,1,in water column above reef,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=253&menuentry=soorten),common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=253&menuentry=soorten),0.01-1,less common near shore,invertivore,,3.7,"Feed on brittle stars, crustaceans, mollusks, and sea urchins ",fusiform
Perciformes,Labridae,Clepticus parrae,creole wrasse,0,adult,0,0,4,LC,yes,yes,2563664,1,40,39,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,shoaling,30,TL,,0,4.1,3.3,2.6,3.3,4.4,4.1,4,1,0,,1,patches of yellow,FishBase,1,1,conspicuous,colourful,colourful,0,,1,large midwater aggregations,FishBase,common ,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=254&menuentry=soorten),0.01-1,more common near tip,planktivore,,3.4,"Found in large midwater aggregations feeding on plankton (Ref. 9710), small jellyfishes, pteropods, pelagic tunicates and various invertebrate larvae",fusiform
Perciformes,Labridae,Cryptotomus roseus,bluelip parrotfish,0,adult,0,0,5,LC,yes,no,3286195,0,30,30,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,shoaling,13,TL,,1,4.7,4.7,4.4,4.6,5.7,4.9,5.1,1,0,,1,stripes and some yellow,FishBase,1,1,conspicuous,colourful,colourful,1,inhabits areas of sea grass; buries in sand to sleep,0,,FishBase,NA,,0.6-1,more common offshore,herbivore,,2,Feeds on seagrasses,fusiform
Perciformes,Labridae,Halichoeres bivittatus,slippery dick,0,adult,0,0,4,LC,yes,no,3251644,1,30,29,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,shoaling,35,TL,,0,5.3,4.7,5.5,5.2,5.7,3.9,4.9,1,0,,1,stripes and pattern,FishBase,1,1,conspicuous,colourful and patterned,colourful,0,,1,in water column over reefs,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=258&menuentry=soorten),very common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=258&menuentry=soorten),0-0.79,less common offshore,carnivore,,3.8,Feeds on other fishes (Ref. 5521) and gastropods,elongated
Perciformes,Labridae,Halichoeres garnoti,yellowhead wrasse,0,adult,0,0,4,LC,yes,yes,2527389,1,30,29,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,shoaling,19.3,TL,,0,5,4.8,4.2,4.7,5.8,4.5,5,1,0,,1,yellow,FishBase,1,1,conspicuous,colourful and patterned,colourful,0,,1,"in water column; ""Constantly on the move but easily attracted by divers.""",FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=256&menuentry=soorten),0.01-1,more common at tip,invertivore,,3.7,Feeds on various invertebrates. ,elongated
Perciformes,Labridae,Halichoeres maculipinna,clown wrasse,0,adult,0,0,4,LC,yes,yes,2618838,1,30,29,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,shoaling,18,TL,,0,5.3,4.9,5.7,5.3,5.1,4.6,5,1,0,,1,bright colouration but not sure how visible they would be at depth,FishBase,1,1,conspicuous,colourful,colourful,1,solitary and wary; difficult to approach,0,,FishBase,NA,,0.01-1,more common near tip,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3898),3.3,,elongated
Perciformes,Labridae,Halichoeres pictus,rainbow wrasse,0,adult,0,0,5,LC,yes,yes,2590864,5,30,25,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,shoaling,13,TL,,1,5.1,5.9,6.4,5.8,5.6,4.6,5.3,1,0,,1,some yellow,FishBase,1,1,conspicuous,colourful,colourful,0,,1,in water column; swims high above reef,FishBase,NA,,0-1,more common near tip,invertivore,,3.5,Feeds on various invertebrates.,elongated
Perciformes,Labridae,Halichoeres poeyi,blackear wrasse,0,adult,0,0,4,LC,no,no,3306088,1,30,29,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,20,TL,,0,4.6,4,3.5,4,NA,4.2,4.1,1,0,,1,bright colouration but not sure how visible they would be at depth,FishBase,1,1,conspicuous,colourful,colourful,1,"""solitary and wary"" and found in sea grass",0,,MexicanFish.com (https://mexican-fish.com/blackear-wrasse/),common (not specified for Florida),MexicanFish.com (https://mexican-fish.com/blackear-wrasse/),0-1,more common near tip,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3900),3.7,,elongated
Perciformes,Labridae,Halichoeres radiatus,puddingwife,0,adult,0,0,4,LC,yes,yes,2828279,1,55,54,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,shoaling,51,TL,,0,3.5,4.3,4.7,4.2,4.8,3.6,4.2,1,0,,1,white sadles and pattern,FishBase,1,1,conspicuous,colourful and patterned,colourful,0,,1,in water column over reef,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=255&menuentry=soorten),occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=255&menuentry=soorten),0.01-1,more common near tip,invertivore,,3.5,"Feeds on mollusks, sea urchins, crustaceans, and brittle stars",fusiform
Perciformes,Labridae,Halichoeres radiatus,puddingwife,0,juvenile,0,0,4,LC,yes,yes,2828279,1,55,54,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,shoaling,NA,,,0,3.5,4.3,4.7,4.2,4.8,3.6,4.2,1,0,,1,pattern with yellow,reefs.com (https://reefs.com/2015/12/12/juvenile-puddingwife-halichoeres-radiatus/) ,1,1,conspicuous,colourful and patterned,colourful,0,,1,in water column over reef,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=255&menuentry=soorten),occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=255&menuentry=soorten),0.01-1,more common near tip,invertivore,,3.5,"Feeds on mollusks, sea urchins, crustaceans, and brittle stars",fusiform
